#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
O0*k3	Basic+	药理学::药物	塞来昔布	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性COX2抑制药</b></span></li><li>1. 不影响TXA2，抑制PGI2。</li><li>2. 肾损害。血栓形成倾向慎用。</li></ul>"	
EVfF<q%=dS	问答题	药理学::药物	新斯的明	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>易逆性抗胆碱酯酶药</b></span></li><li>体内过程：</li><ul><li>季胺类化合物，口服吸收少（生物利用率低）</li><li>不易通过BBS和角膜</li></ul><li>药理作用</li><ul><li>间接作用：抑制胆碱酯酶的活性→完全拟胆碱作用→兴奋M、N胆碱受体</li><li>直接作用：直接激动骨骼肌运动终板上的Nm受体</li><li><b>骨骼肌兴奋作用较强（因为新斯的明还可以直接激动骨骼肌运动终板上的Nm受体）</b>胃肠道平滑肌次之。</li></ul><li>临床应用</li><ul><li>治疗<b>重症肌无力</b>（可口服）</li><li>胃肠道蠕动↑：减轻术后腹气胀和尿潴留</li><li>胃肠道蠕动↑：减轻<b>腹部手术后的肠麻痹</b></li><li>心肌M样作用：可用于阵发性室上心动过速、对抗竞争性神经肌肉阻滞药过量时产生的毒性反应</li></ul><li>给药方式</li><ul><li>皮下、肌内注射给药（静脉注射有一定危险性）</li></ul><li>副作用</li><ul><li>过量导致M、N样症状：胆碱能危象、支气管哮喘、房室传导阻滞</li><li><span style=""color: red;"">禁用于机械性肠梗阻，尿道梗阻，哮喘，帕金森症</span><br></li></ul><li>解救方法：减量或用<b><span style=""color: rgb(170, 0, 0);"">阿托品</span></b>对抗</li></ul>"	
JUNRP$u/e-	问答题	药理学::药物	吡斯地明	<ul><li>类似新斯的明</li><li>治疗重症肌无力、手术后功能性胀气和尿潴留等</li></ul>	
qeV<<j],V=	问答题	药理学::药物	毒扁豆碱	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">易逆性抗AchE药</span></b></li><li>体内过程：</li><ul><li>叔胺类化合物，脂溶性高，选择性差（注射口服均容易吸收、可通过血脑屏障）</li><li>缩瞳、降低眼内压效果维持1~2天，调节痉挛现象消失快<br></li><li>对眼的作用与毛果芸香碱相似，但较强而持久，但刺激性大<br></li></ul><li>药理作用<br></li><ul><li>兴奋M，N-R，具有中枢作用</li><li>小剂量兴奋，大剂量抑制中枢AchE活性<br></li></ul><li>临床应用</li><ul><li>治疗急性青光眼，长期给药不易耐受。</li><li>可先用本品滴眼数次，后用毛果芸香碱维持疗效<br></li></ul><li>给药方式</li><ul><li><div>滴眼液，滴眼时压迫眼内眦。</div></li></ul><li>副作用</li><ul><li>如果滴眼时药液流入鼻腔可造成毒性反应。全身毒性反应比新斯的明严重，大剂量中毒可致呼吸麻痹</li></ul></ul>"	
A_g5l/`SP0	问答题	药理学::药物	有机磷酸酯类	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>难逆性抗胆碱酯酶药</b></span>——敌敌畏DDVP</li><li>轻症中毒：M样症状为主</li><li>急性中毒症状：毒蕈碱样（M）+ 烟碱样（N）症状（急性胆碱能危象）+ CNS症状</li><ul><li>针尖样瞳孔、睫状肌痉挛、视物模糊<br></li><li>泪腺、唾液腺、胃肠道分泌增加<br></li><li>支气管平滑肌收缩，支气管分泌增加→呼吸困难<br></li><li>肌无力、不自主肌束抽搐&nbsp;→ 肌麻痹（呼吸肌麻痹）<br></li><li>CNS：意识模糊、共济失调、谵言、昏迷→呼吸中枢麻痹→呼吸抑制<br></li></ul><li><b><span style=""color: red;"">急性中毒治疗</span></b></li><ul><li>清除毒物：2% 碳酸氢钠溶液或1%氯化钠溶液洗胃</li><li>特效药解毒：</li><ul><li>M样作用对抗剂：足量阿托品</li><li>N样作用对抗剂：胆碱酯酶（AChE）复活药：氯解磷定、碘解磷定——与阿托品联合用药</li></ul></ul><li>中毒途径：皮肤、呼吸道、<span style=""color: rgb(170, 0, 0);"">消化道</span><br></li><li><span style=""color: rgb(170, 0, 0);"">ps：阿托品化（阿托品足量用药）</span>瞳孔不再缩小、颜面潮红、皮肤干燥、肺部湿性罗音显著减少或消失、意识障碍减轻或昏迷患者苏醒。</li></ul>"	
ikqZw^d5oI	问答题	药理学::药物	氯解磷定	"<ul><li><b>胆碱酯酶复活药</b></li><li>药理作用：</li><ul><li><b><span style=""color: rgb(170, 0, 0);"">恢复AChE的活性</span></b></li><li><span style=""color: rgb(170, 0, 0);""><b>直接解毒</b></span>作用（直接与体内游离的有机磷酸酯结合）</li></ul><li>临床应用：治疗有机磷中毒</li><ul><li>可明显缓解N样症状：迅速<span style=""color:red"">抑制肌震颤</span><span style=""color: red;"">N<sub>M</sub></span> （恢复胆碱酯酶的活性在神经肌肉接头处最明显）</li><li>对M样症状影响小——应与阿托品合用（对抗M样症状）</li></ul><li>给药途径</li><ul><li>肌内注射，静脉给药<br></li><li><span style=""color: red;"">解毒药物应用原则：</span>联合用药、尽早用药、足量用药、重复用药、对症用药<br></li></ul><li>不良反应：大剂量时会使神经肌肉传导阻滞</li></ul>"	
DW^n|,};z~	问答题	药理学::药物	碘解磷定	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>胆碱酯酶复活药</b></span></li><li>药理作用与氯解磷定类似</li></ul>"	
zXSXBL$PxX	问答题	药理学::药物	山莨菪碱	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>M受体阻断药+解挛药</b></span></li><li>体内过程：作用与阿托品类似，但是选择性高：解痉和扩血管作用强，中枢作用很弱。</li><li>药理作用：<b>主要用于<span style=""color: rgb(170, 0, 0);"">感染性休克</span>和内脏平滑肌绞痛等</b></li><li>给药：口服</li><li>不良反应：与阿托品类似（但无中枢症状）</li></ul>"	
LBl_dOfO~;	问答题	药理学::药物	东莨菪碱	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>M受体阻断药</b></span></li><li>体内过程：中枢抑制作用强（<span style=""color: red;"">治疗量即可引起</span><span style=""color: red;"">CNS</span><span style=""color: red;"">抑制</span>）外周作用较弱</li><li>临床用途：<b>可用于麻醉前给药、晕动病及帕金森病</b></li><li>给药：口服、皮肤吸收</li><li>副作用与禁忌症与阿托品相同</li></ul>"	
"z+cwG#:GM&"	问答题	药理学::药物	琥珀胆碱	"<ul><li>（Nm-R阻断药）<b>除极化型肌松药</b>（<span style=""color: rgb(170, 0, 0);""><b>非竞争性肌松药</b></span>）<br></li><li>药理作用：持续兴奋Nm-R</li><li>临床应用：气管插管,食管镜,气管镜短时操作,静滴也可用于长手术</li><li>给药：IV（静脉注射）作用仅持续5min</li><li>不良反应：血钾过高,肌肉酸痛<br></li><li>解救：<span style=""color: red;""><b>不可用新斯的明解救</b></span><br></li></ul>"	
lXFXsSqFB9	问答题	药理学::药物	<div>去甲肾上腺素</div>	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">去甲肾上腺素 = NA = α-R激动药</span></b></li><li>药理作用：</li><ul><li>激动α-R、β-R（弱）→血压升高、心率减慢</li><li>大剂量时升血糖<br></li></ul><li>临床应用：<br></li><ul><li>抗休克和低血压<br></li><li>稀释后口服减轻<b>上消化道出血</b><br></li></ul><li>给药途径：<b>静脉滴注</b></li><li>不良反应：局部坏死、急性肾衰竭（缩血管效应）<br></li><li>解救：局部热敷，并用普鲁卡因或α-R阻断药<b>酚妥拉明</b>局部浸润注射，以扩张血管<br></li></ul>"	
Esm%@c(0ac	问答题	药理学::药物	肾上腺素	"<ul><li>肾上腺素 = AD =&nbsp;αβ-R激动药</li><li>药理作用</li><ul><li>激动α-R、β-R，血压升高，心率加快</li><li>舒张支气管并能抑制肥大细胞释放组胺等过敏物质</li><li>提高机体代谢</li></ul><li>临床应用</li><ul><li>过敏性休克的首选药物</li><li>支气管哮喘<span style=""color: rgb(170, 0, 0);""><b>急性</b></span>发作</li><li>心脏骤停</li><li>血管神经性水肿</li><li>青光眼<br></li></ul><li>给药途径：<span style=""color: rgb(170, 0, 0);"">皮下、肌内、静脉注射给药</span></li><li>不良反应</li><ul><li>心悸、血压升高</li><li>禁用于<b>高血压、脑动脉硬化、器质性心脏病、糖尿病、甲亢</b></li></ul></ul>"	
MJLj_NiX9/	问答题	药理学::药物	"<div><span style=""color: red;"">异丙肾上腺素</span></div>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>异丙肾上腺素=ISOP=β-R激动药</b></span></li><li>药理作用</li><ul><li><b>激动β-R、</b>血压下降，心率加快</li><li>舒张支气管平滑肌</li><li>代谢加强<br></li></ul><li>临床应用</li><ul><li>房室传导阻滞</li><li>心骤</li><li>支气管哮喘急性发作</li><li>抗感染性休克<br></li></ul><li>给药：<span style=""color: rgb(170, 0, 0);"">气雾、舌下含药、静滴</span></li><li>不良反应</li><ul><li>心悸</li><li>禁用于冠心病、心肌炎、甲亢<br></li></ul></ul>"	
hula;$gMeb	问答题	药理学::药物	间羟胺	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>间羟胺、阿拉明=α-R激动药</b></span><br></li><li>药理作用</li><ul><li>激动α-R（β1弱）</li><li>促进NA释放</li><li>作用弱而久，对肾血管的收缩作用较弱</li></ul><li>临床应用</li><ul><li><div>NA的代用品</div></li><li><div><span style=""color: red;"">用于休克早期、手术后或脊椎麻醉后的休克</span></div></li></ul><li>给药：静脉滴注、肌内注射</li></ul>"	
hU/-,O3*v8	问答题	药理学::药物	多巴胺	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>多巴胺=DA=αβ-R激动药</b></span><br></li><li>药理作用（激动α、β、DA受体）</li><ul><li>低浓度时：激动肾、肠系膜和冠脉上的DA1-R，血管扩张，血管阻力↓</li><li>高浓度时β1-R占主要优势，促进肾上腺素能神经末梢释放NA兴奋心脏，心排出量↑<br></li></ul><li>临床</li><ul><li>抗各种休克（<span style=""color: rgb(170, 0, 0);"">尿量较少的这类休克效果更好</span>）</li><li>低浓度DA可激动肾脏DA1-R，使肾血管扩张，肾血流和肾小球滤过率增加→抗急性肾衰竭（与利尿剂合用）</li><li>急性心功能不全</li></ul><li>给药：静脉滴注</li><li>不良反应：过量可引起：心律失常、高血压、肾衰</li><li>拮抗剂：酚妥拉明</li><li><b><span style=""color: red;"">注意点：应用</span><span style=""color: red;"">DA</span><span style=""color: red;"">治疗休克时必须事先补足血容量</span></b><br></li></ul>"	
pbl>0X,`YN	问答题	药理学::药物	麻黄碱	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>α、β-R激动药</b></span><br></li><li>药理作用：</li><ul><li>激动α、β受体，促进NA释放，作用弱而久中枢作用显著</li><li><span style=""color: red;"">升压作用出现缓慢而持久</span></li></ul><li>临床：</li><ul><li>预防<b>支气管哮喘发作</b>和轻症的治疗</li><li>各种原因引起的充血性鼻塞</li><li>预防硬膜外和蛛网膜下腔麻醉等引起的低血压</li><li>缓解荨麻疹和血管神经性水肿的皮肤粘膜症状</li><li>二度、三度房室传导阻滞<br></li></ul><li>给药：口服<br></li></ul>"	
tZ%RYX<n}V	问答题	药理学::药物	<div>酚妥拉明</div>	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>酚妥拉明、妥拉唑林=α-R阻断药</b></span></li><li>药理作用（<b>扩张血管、兴奋心脏、心率加快、血压下降</b>）</li><ul><li>竞争性阻断α-R</li><li>拟胆碱作用（兴奋胃肠平滑肌）</li><li>组胺样作用（胃酸分泌↑，皮肤潮红）</li><li>正性肌力作用、正性频率作用：</li><ul><li>血压降低，反射性引起交感神经兴奋→心肌收缩力↑，心率↑→心输出量↑</li><li>阻断突触前膜α2受体→NA↑→β1受体兴奋</li></ul></ul><li>临床应用</li><ol><li>外周血管痉挛性疾病（雷诺病、血管闭塞性脉管炎）</li><li>静滴NA发生外漏时治疗（10mg溶于10-20ml生理盐水）</li><li>鉴别肾上腺<span style=""color: rgb(170, 0, 0);""><b>嗜铬细胞瘤</b></span>（过量的儿茶酚胺刺激α受体而引起血压升高）</li><li>抗休克：与NA合用</li><li>急性心肌梗死和充血性心衰</li></ol><li>给药：口服、肌内注射（妥拉挫林以注射给药为主）<br></li><li>不良反应：<b>体位性低血压、消化道反应、心动过速</b></li></ul>"	
L8[H3q}Z3C	问答题	药理学::药物	酚苄明	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>非竞争性α-R阻断药</b></span></li><li>药理作用</li><ul><li>舒张血管，降血压，反射性引起心率加快</li><li><span style=""color: red;"">作用慢、</span><span style=""color: red;"">强、</span><span style=""color: red;"">久</span></li></ul><li>临床应用</li><ul><li>感染性休克</li><li>前列腺增生症</li><li>外周血管痉挛性疾病<br></li></ul><li>给药</li><ul><li><b>口服、静脉注射</b></li><li>局部刺激性强，故不作皮下肌内注射<br></li></ul><li>不良反应：直立性低血压</li></ul>"	
nWVT+kHHDB	问答题	药理学::药物	<div>普萘洛尔</div>	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">普萘洛尔=β-R阻断药 + </span><span style=""color: rgb(0, 85, 0);"">抗甲状腺药</span></b></li><li>药理作用（β-R阻断作用）</li><ul><li><span style=""color: rgb(170, 0, 0);"">抑制心脏</span>（β1-R ↓→力↓、率↓、传↓、CO↓、耗氧↓）</li><li><span style=""color: rgb(170, 0, 0);"">降低血压</span>：对正常人血压影响不明显，但明显降压高血压患者的血压（降压机制复杂）</li><li><span style=""color: rgb(170, 0, 0);"">收缩支气管平滑肌</span>：β2-R ↓→收缩</li><li><span style=""color: rgb(170, 0, 0);"">影响代谢</span>：脂肪分解↓、肝糖原分解↓</li><li><span style=""color: rgb(170, 0, 0);"">膜稳定作用</span>：具有<b>局麻</b>和<b>奎尼丁样</b>作用</li><li><b><span style=""color: rgb(170, 0, 0);"">没有内在拟交感活性</span></b></li></ul><li>临床应用：</li><ul><li>对心脏作用：缓解心绞痛、心肌梗塞、甲状腺机能亢进</li><li>对外周血管作用：缓解高血压、偏头痛</li><li>对支气管作用：收缩支气管→禁用于支气管哮喘</li><li>增加钠潴留：<b>降压应与利尿药合用</b></li><li>干扰糖代谢：导致低血糖</li><li>阻断异丙肾上腺素（ISOP=β受体激动药）的作用</li><li>减少房水形成：治疗青光眼</li><li><b><span style=""color: rgb(0, 85, 0);"">甲亢及甲状腺危象的辅助治疗药</span></b><br></li></ul><li>给药：口服</li><li>不良反应</li><ul><li>诱发或加重支气管哮喘</li><li>抑制心脏功能</li><li>外周血管收缩和痉挛</li><li>反跳现象</li><li>其他：CNS症状、低血糖等</li></ul><li>禁忌症<br></li><ul><li>支气管哮喘</li><li>窦性心动过缓<br></li><li>严重房室传导阻滞</li><li>严重心功能不全</li><li>精神抑郁症和低血压<br></li></ul><li>降压机制：</li><ol><li>阻断心脏β1受体→心输出量↓→血压↓<br></li><li>阻断肾小球旁器β1受体→肾素分泌↓→抑制RAAS<br></li><li>阻断外周NA能神经末梢突触前膜β2受体→降低正反馈作用→NA释放↓<br></li><li>阻断中枢β受体→外周交感活性↓<br></li><li>增加前列环素的合成<br></li></ol></ul>"	
qo1U!bcxf@	问答题	药理学::药物	局部麻醉药	"<ul><li>药理作用：局麻药作用于神经细胞膜Na<sup>+</sup>通道<span style=""color:red"">内侧</span>，<span style=""color:red"">抑制</span><span style=""color: red;"">Na<sup>+</sup></span><span style=""color: red;"">内流</span>，阻止动作电位的产生和传导，从而产生局麻作用</li><li>常用药物：</li><ul><li><span style=""color: rgb(170, 0, 0);"">普鲁卡因</span>（奴佛卡因）: 亲脂性低，不易穿透粘膜，故只作注射用药。广泛用于浸润麻醉、传导麻醉、蛛网膜下腔麻醉和硬膜外麻醉。还可用于损伤部位的局部封闭。</li><li><span style=""color: rgb(170, 0, 0);"">利多卡因</span>（赛罗卡因）: 作用比普鲁卡因快、强而持久，安全范围较大，能穿透粘膜，可用于各种局麻方法。临床主要用于传导麻醉和硬膜外麻醉。</li><li><span style=""color: rgb(170, 0, 0);"">丁卡因</span>（地卡因）: 作用及毒性均比普鲁卡因强10倍，最常用作<b>表面麻醉</b>、腰麻及硬脊膜外腔麻醉。</li><li><span style=""color: rgb(170, 0, 0);"">布比卡因</span>（麻卡因）:&nbsp; 浸润，传导，硬膜外麻醉，<span style=""color: rgb(170, 0, 0);""><b>毒性强</b></span></li><li><span style=""color: rgb(170, 0, 0);"">罗哌卡因</span>:&nbsp; 对子宫胎盘无影响，故<b>适用于产科手术麻醉</b></li></ul></ul>"	
EY8SXOn}lI	问答题	药理学::药物	局部麻醉分类	"<ul><li><span style=""color: red;"">表面麻醉</span>：将穿透性较强的局麻药涂于粘膜表面，使粘膜下神经末梢麻醉。适用于眼、鼻、咽喉、气管、尿道等粘膜部位的浅表手术。常选用丁卡因。</li><li><span style=""color: red;"">浸润麻醉</span>：将局麻药注入皮下或手术切口部位，使局部的神经末梢被麻醉。可选用利多卡因、普鲁卡因。</li><li><span style=""color: red;"">传导麻醉</span>：将局麻药注射到神经干附近，阻滞其传导。可选用利多卡因、普鲁卡因、布比卡因。</li><li><span style=""color: red;"">硬膜外麻醉</span>：将药液注入硬脊膜外腔使通过此腔穿出椎间孔的神经根麻醉。</li><li><span style=""color: red;"">蛛网膜下腔麻醉</span>：简称腰麻，将局麻药经腰椎间隙注入蛛网膜下腔，以<b>阻滞该部位的神经根</b>。适用于腹部或下肢手术。</li></ul>"	
JCi_v+UAw.	问答题	药理学::药物	地西泮	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>苯二氮卓类=BZ=安定长效类镇静催眠药</b></span></li><li>BZ作用机制：与其位点结合后促进中枢&nbsp;<span style=""color: red;"">γ-氨基丁酸</span>（GABA）与相应位点结合，增加Cl-通道开放频率，增加Cl-内流，产生中枢抑制效应。</li><li>药理作用：</li><ol><li>抗焦虑作用——<span style=""color: rgb(0, 170, 0);"">边缘系统</span></li><li>镇静催眠作用</li><li>抗惊厥作用</li><li>抗癫痫作用</li><li>中枢性肌松作用</li></ol><li>临床应用</li><ol><li>治疗<span style=""color: rgb(170, 0, 0);"">焦虑症首选</span></li><li>治疗失眠症，麻醉前给药</li><li>各种原因引起的惊厥（如破伤风、子痫、高热及药物中毒）</li><li><span style=""color: rgb(170, 0, 0);"">控制癫痫持续状态首选（iv）</span>也用于癫痫大小发作</li><li>缓解中枢或局部病变引起的肌僵直和腰肌劳损引起的肌痉挛</li><li><b>减少夜惊或梦游症</b><br></li></ol><li>苯二氮卓类药物的优点</li><ol><li>选择性高、安全范围大（过量不会引起麻醉和中枢麻痹）</li><li>对肝药酶无诱导作用（耐受性轻）</li><li>依赖性、后遗效应轻</li><li><b>少或无影响REMS</b></li><li><b>反跳现象轻</b></li></ol><li>体内过程</li><ul><li>口服吸收快完全，易通过胎盘，血脑屏障</li><li>肝药酶代谢为<b>去甲地西泮</b>(仍有活性)，血浆蛋白结合率高<br></li></ul><li>不良反应</li><ul><li>血压下降甚至昏迷及呼吸抑制。可用<span style=""color: rgb(170, 0, 0);""><b>氟马西尼</b></span>救治（静脉注射速度过快时容易发生，故要缓慢注射，每分钟&gt;5mg）</li><li>耐受性和依赖性：长期用药可产生耐受性和成瘾性，但<u>发生比巴比妥类慢</u>，停药时出现<span style=""color: rgb(170, 0, 0);""><b>反跳和戒断症状</b></span>（三唑仑）<br></li><li>禁止与其他中枢抑制药物合用：🚫酒精和地西泮</li><li>致畸、过敏反应<br></li></ul></ul>"	
